-92,-93,-90,-91,-90,-94,-90,-93,-90,-92,-90,-90,-93,-56,-37,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-56,-91,-93,-93,-94,-93,-93,-91,-93,-92,-91,-93,-91,-94,-94,-93,-94,-94,-93,-94,-92,-91,-94,-90,-94,-93,-93,-37,-38,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-38,-38,-38,-38,-38,-38,-39,-39,-39,-39,-53,-93,-92,-90,-90,-90,-91,-94,-93,-94,-94,-93,-94,-91,-92,-92,-93,-91,-94,-94,-94,-94,-94,-94,-93,-93,-93,-94,-94,-90,-93,-93,-90,-94,-94,-93,-93,-93,-90,-93,-92,-94,-93,-92,-95,-93,-93,-93,-94,-93,-93,-94,-92,-93,-93,-91,-92,-94,-93,-94,-94,-93,-94,-93,-90,-93,-92,-91,-92,-92,-94,-42,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-38,-38,-38,-38,-38,-38,-39,-44,-94,-90,-92,-91,-94,-93,-93,-93,-93,-93,-91,-94,-90,-93,-94,-94,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-93,-90,-92,-90,-90,-93,-56,-37,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-56,-90,-92,-94,-92,-91,-94,-94,-91,-90,-94,-91,-90,-90,-91,-90,-91,-93,-93,-94,-93,-93,-91,-93,-92,-91,-93,-91,-94,-94,-93,-94,-94,-93,-94,-92,-91,-94,-90,-94,-93,-93,-37,-38,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-38,-38,-38,-38,-38,-38,-39,-39,-39,-39,-53,-93,-92,-90,-90,-90,-91,-94,-93,-94,-94,-93,-94,-91,-92,-92,-93,-91,-94,-94,-94,-94,-94,-94,-93,-93,-93,-94,-94,-90,-93,-93,-90,-94,-94,-93,-93,-93,-90,-93,-92,-94,-93,-92,-95,-93,-93,-93,-94,-93,-93,-94,-92,-93,-93,-91,-92,-94,-93,-94,-94,-93,-94,-93,-90,-93,-92,-91,-92,-92,-94,-42,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-38,-38,-38,-38,-38,-38,-39,-44,-94,-90,-92,-91,-94,-93,-93,-93,-93,-93,-91,-94,-90,-93,-94,-94
